date,vwretd
2012-07-23,-0.010165
2012-07-24,-0.009426
2012-07-25,0.000714
2012-07-26,0.015513
2012-07-27,0.01895
2012-07-30,-0.000763
2012-07-31,-0.004994
2012-08-01,-0.004475
2012-08-02,-0.007294
2012-08-03,0.01923
2012-08-06,0.003534
2012-08-07,0.006358
2012-08-08,0.000179
2012-08-09,0.001648
2012-08-10,0.001869
2012-08-13,-0.001884
2012-08-14,-1.9e-05
2012-08-15,0.002741
2012-08-16,0.007905
2012-08-17,0.002655
2012-08-20,-0.000607
2012-08-21,-0.002329
2012-08-22,-0.000102
2012-08-23,-0.00732
2012-08-24,0.005494
2012-08-27,-0.00056
2012-08-28,0.000261
2012-08-29,0.000994
2012-08-30,-0.007798
2012-08-31,0.005891
2012-09-04,0.000688
2012-09-05,-0.000598
2012-09-06,0.019461
2012-09-07,0.005649
2012-09-10,-0.005683
2012-09-11,0.003437
2012-09-12,0.002652
2012-09-13,0.01528
2012-09-14,0.006142
2012-09-17,-0.004543
2012-09-18,-0.001776
2012-09-19,0.001305
2012-09-20,-0.001942
2012-09-21,0.000444
2012-09-24,-0.003088
2012-09-25,-0.010814
2012-09-26,-0.005527
2012-09-27,0.010046
2012-09-28,-0.004491
2012-10-01,0.002807
2012-10-02,0.001181
2012-10-03,0.002508
2012-10-04,0.007674
2012-10-05,-0.00015
2012-10-08,-0.003568
2012-10-09,-0.009763
2012-10-10,-0.005554
2012-10-11,0.00175
2012-10-12,-0.003502
2012-10-15,0.00724
2012-10-16,0.009941
2012-10-17,0.005086
2012-10-18,-0.002676
2012-10-19,-0.015612
2012-10-22,0.000193
2012-10-23,-0.012926
2012-10-24,-0.002612
2012-10-25,0.003301
2012-10-26,-0.001382
2012-10-31,0.00248
2012-11-01,0.011214
2012-11-02,-0.009745
2012-11-05,0.002234
2012-11-06,0.007865
2012-11-07,-0.02106
2012-11-08,-0.01158
2012-11-09,0.000949
2012-11-12,-0.000216
2012-11-13,-0.004153
2012-11-14,-0.014701
2012-11-15,-0.002925
2012-11-16,0.006186
2012-11-19,0.019178
2012-11-20,0.000983
2012-11-21,0.00313
2012-11-23,0.012722
2012-11-26,-0.001641
2012-11-27,-0.004418
2012-11-28,0.007475
2012-11-29,0.005422
2012-11-30,0.000274
2012-12-03,-0.004214
2012-12-04,-0.001277
2012-12-05,0.001758
2012-12-06,0.002844
2012-12-07,0.002524
2012-12-10,0.001534
2012-12-11,0.006153
2012-12-12,0.000255
2012-12-13,-0.005872
2012-12-14,-0.003089
2012-12-17,0.010179
2012-12-18,0.01112
2012-12-19,-0.004643
2012-12-20,0.004892
2012-12-21,-0.008487
2012-12-24,-0.002207
2012-12-26,-0.004962
2012-12-27,-0.000685
2012-12-28,-0.009273
2012-12-31,0.016424
2013-01-02,0.024996
2013-01-03,-0.001911
2013-01-04,0.005653
2013-01-07,-0.002555
2013-01-08,-0.002208
2013-01-09,0.003403
2013-01-10,0.00679
2013-01-11,0.000244
2013-01-14,-0.00035
2013-01-15,0.00196
2013-01-16,-0.000738
2013-01-17,0.00593
2013-01-18,0.002942
2013-01-22,0.00518
2013-01-23,0.000286
2013-01-24,0.000638
2013-01-25,0.00525
2013-01-28,-0.001315
2013-01-29,0.003632
2013-01-30,-0.003846
2013-01-31,-0.00082
2013-02-01,0.009291
2013-02-04,-0.011036
2013-02-05,0.009248
2013-02-06,0.001293
2013-02-07,-0.002118
2013-02-08,0.00539
2013-02-11,-0.001003
2013-02-12,0.002191
2013-02-13,0.001389
2013-02-14,0.000865
2013-02-15,-0.00201
2013-02-19,0.006956
2013-02-20,-0.013325
2013-02-21,-0.007067
2013-02-22,0.008665
